Historia,Estrellas,Promedio,Límite maximo,Límite mínimo,,,,Promedio,97.48647005
47,24,97.48647005,175.3022377,19.67070244,,,,,
48,268,97.48647005,175.3022377,19.67070244,,,,,
49,23,97.48647005,175.3022377,19.67070244,,,,,
50,44,97.48647005,175.3022377,19.67070244,,,,,
51,43,97.48647005,175.3022377,19.67070244,,,,,
52,20,97.48647005,175.3022377,19.67070244,,,,,
53,13,97.48647005,175.3022377,19.67070244,,,,,
54,358,97.48647005,175.3022377,19.67070244,,,,,
55,37,97.48647005,175.3022377,19.67070244,,,,,
56,16,97.48647005,175.3022377,19.67070244,,,,,
57,185,97.48647005,175.3022377,19.67070244,,,,,
58,27,97.48647005,175.3022377,19.67070244,,,,,
59,163,97.48647005,175.3022377,19.67070244,,,,,
60,94,97.48647005,175.3022377,19.67070244,,,,,
61,197,97.48647005,175.3022377,19.67070244,,,,,
62,33,97.48647005,175.3022377,19.67070244,,,,,
63,14,97.48647005,175.3022377,19.67070244,,,,,
64,110,97.48647005,175.3022377,19.67070244,,,,,
65,33,97.48647005,175.3022377,19.67070244,,,,,
66,224,97.48647005,175.3022377,19.67070244,,,,,
67,34,97.48647005,175.3022377,19.67070244,,,,,
68,33,97.48647005,175.3022377,19.67070244,,,,,
69,23,97.48647005,175.3022377,19.67070244,,,,,
70,78,97.48647005,175.3022377,19.67070244,,,,,
71,219,97.48647005,175.3022377,19.67070244,,,,,
72,15,97.48647005,175.3022377,19.67070244,,,,,
73,215,97.48647005,175.3022377,19.67070244,,,,,
74,138,97.48647005,175.3022377,19.67070244,,,,,
75,36,97.48647005,175.3022377,19.67070244,,,,,
76,27,97.48647005,175.3022377,19.67070244,,,,,
77,117,97.48647005,175.3022377,19.67070244,,,,,
78,39,97.48647005,175.3022377,19.67070244,,,,,
79,29,97.48647005,175.3022377,19.67070244,,,,,
80,10,97.48647005,175.3022377,19.67070244,,,,,
81,128,97.48647005,175.3022377,19.67070244,,,,,
82,25,97.48647005,175.3022377,19.67070244,,,,,
83,92,97.48647005,175.3022377,19.67070244,,,,,
84,444,97.48647005,175.3022377,19.67070244,,,,,
85,152,97.48647005,175.3022377,19.67070244,,,,,
86,143,97.48647005,175.3022377,19.67070244,,,,,
87,30,97.48647005,175.3022377,19.67070244,,,,,
88,44,97.48647005,175.3022377,19.67070244,,,,,
89,25,97.48647005,175.3022377,19.67070244,,,,,
90,143,97.48647005,175.3022377,19.67070244,,,,,
91,71,97.48647005,175.3022377,19.67070244,,,,,
92,166,97.48647005,175.3022377,19.67070244,,,,,
93,22,97.48647005,175.3022377,19.67070244,,,,,
94,245,97.48647005,175.3022377,19.67070244,,,,,
95,143,97.48647005,175.3022377,19.67070244,,,,,
96,36,97.48647005,175.3022377,19.67070244,,,,,
97,20,97.48647005,175.3022377,19.67070244,,,,,
98,10,97.48647005,175.3022377,19.67070244,,,,,
99,106,97.48647005,175.3022377,19.67070244,,,,,
100,115,97.48647005,175.3022377,19.67070244,,,,,
101,35,97.48647005,175.3022377,19.67070244,,,,,
102,22,97.48647005,175.3022377,19.67070244,,,,,
103,86,97.48647005,175.3022377,19.67070244,,,,,
104,57,97.48647005,175.3022377,19.67070244,,,,,
105,124,97.48647005,175.3022377,19.67070244,,,,,
106,48,97.48647005,175.3022377,19.67070244,,,,,
107,146,97.48647005,175.3022377,19.67070244,,,,,
108,61,97.48647005,175.3022377,19.67070244,,,,,
109,21,97.48647005,175.3022377,19.67070244,,,,,
110,36,97.48647005,175.3022377,19.67070244,,,,,
111,93,97.48647005,175.3022377,19.67070244,,,,,
112,57,97.48647005,175.3022377,19.67070244,,,,,
